Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,0.129007,0.129022,0.128996,0.129006,0.129006,0
2020-07-27,0.129007,0.129027,0.128979,0.129018,0.129018,0
2020-07-28,0.129014,0.129041,0.129007,0.129012,0.129012,0
2020-07-29,0.129029,0.129046,0.129004,0.129029,0.129029,0
2020-07-30,0.129034,0.129044,0.129004,0.129030,0.129030,0
2020-07-31,0.129032,0.129046,0.129016,0.129034,0.129034,0
2020-08-03,0.129032,0.129044,0.129017,0.129032,0.129032,0
2020-08-04,0.129029,0.129044,0.129016,0.129021,0.129021,0
2020-08-05,0.129032,0.129042,0.129021,0.129029,0.129029,0
2020-08-06,0.129022,0.129046,0.128984,0.129014,0.129014,0
2020-08-07,0.129032,0.129043,0.129014,0.129026,0.129026,0
2020-08-10,0.129032,0.129042,0.129016,0.129033,0.129033,0
2020-08-11,0.129031,0.129044,0.129016,0.129033,0.129033,0
2020-08-12,0.129029,0.129035,0.129007,0.129034,0.129034,0
2020-08-13,0.129028,0.129042,0.129006,0.129016,0.129016,0
2020-08-14,0.129039,0.129042,0.129014,0.129039,0.129039,0
2020-08-17,0.129022,0.129040,0.129012,0.129022,0.129022,0
2020-08-18,0.129029,0.129042,0.129016,0.129029,0.129029,0
2020-08-19,0.129033,0.129046,0.129019,0.129029,0.129029,0
2020-08-20,0.129031,0.129043,0.128977,0.129019,0.129019,0
2020-08-21,0.129032,0.129043,0.129019,0.129022,0.129022,0
2020-08-24,0.129032,0.129042,0.128994,0.129032,0.129032,0
2020-08-25,0.129031,0.129042,0.129019,0.129024,0.129024,0
2020-08-26,0.129026,0.129044,0.129012,0.129027,0.129027,0
2020-08-27,0.129028,0.129047,0.129007,0.129021,0.129021,0
2020-08-28,0.129031,0.129047,0.129014,0.129031,0.129031,0
2020-08-31,0.129027,0.129047,0.129021,0.129026,0.129026,0
2020-09-01,0.129034,0.129047,0.128982,0.129033,0.129033,0
2020-09-02,0.129036,0.129049,0.129014,0.129027,0.129027,0
2020-09-03,0.129031,0.129046,0.129022,0.129031,0.129031,0
2020-09-04,0.129034,0.129046,0.129022,0.129032,0.129032,0
2020-09-07,0.129027,0.129032,0.129019,0.129029,0.129029,0
2020-09-08,0.129031,0.129033,0.129021,0.129031,0.129031,0
2020-09-09,0.129031,0.129032,0.129019,0.129029,0.129029,0
2020-09-10,0.129025,0.129042,0.129022,0.129022,0.129022,0
2020-09-11,0.129027,0.129033,0.129021,0.129029,0.129029,0
2020-09-14,0.129027,0.129044,0.128994,0.129030,0.129030,0
2020-09-15,0.129032,0.129037,0.129014,0.129029,0.129029,0
2020-09-16,0.129035,0.129037,0.129012,0.129035,0.129035,0
2020-09-17,0.129027,0.129037,0.129016,0.129021,0.129021,0
2020-09-18,0.129031,0.129047,0.129009,0.129034,0.129034,0
2020-09-21,0.129036,0.129039,0.128994,0.129036,0.129036,0
2020-09-22,0.129034,0.129046,0.129027,0.129034,0.129034,0
2020-09-23,0.129032,0.129047,0.129027,0.129034,0.129034,0
2020-09-24,0.129035,0.129036,0.129026,0.129034,0.129034,0
2020-09-25,0.129031,0.129047,0.129019,0.129032,0.129032,0
2020-09-28,0.129032,0.129049,0.129011,0.129034,0.129034,0
2020-09-29,0.129032,0.129046,0.128982,0.129031,0.129031,0
2020-09-30,0.129036,0.129049,0.129027,0.129036,0.129036,0
2020-10-01,0.129033,0.129036,0.129012,0.129034,0.129034,0
2020-10-02,0.129034,0.129046,0.129022,0.129032,0.129032,0
2020-10-05,0.129032,0.129037,0.129009,0.129032,0.129032,0
2020-10-06,0.129031,0.129046,0.129022,0.129031,0.129031,0
2020-10-07,0.129031,0.129047,0.129002,0.129034,0.129034,0
2020-10-08,0.129035,0.129046,0.129004,0.129035,0.129035,0
2020-10-09,0.129034,0.129037,0.129012,0.129035,0.129035,0
2020-10-12,0.129034,0.129047,0.128994,0.129033,0.129033,0
2020-10-13,0.129036,0.129037,0.128912,0.129036,0.129036,0
2020-10-14,0.128979,0.129038,0.128957,0.128979,0.128979,0
2020-10-15,0.129036,0.129037,0.129004,0.129036,0.129036,0
2020-10-16,0.129034,0.129039,0.129012,0.129033,0.129033,0
2020-10-19,0.129029,0.129037,0.129002,0.129029,0.129029,0
2020-10-20,0.129036,0.129037,0.129002,0.129033,0.129033,0
2020-10-21,0.129007,0.129037,0.128997,0.129012,0.129012,0
2020-10-22,0.129034,0.129037,0.128987,0.129036,0.129036,0
2020-10-23,0.128976,0.129038,0.128899,0.128974,0.128974,0
2020-10-26,0.129036,0.129037,0.128996,0.129036,0.129036,0
2020-10-27,0.128967,0.129037,0.128936,0.128962,0.128962,0
2020-10-28,0.129022,0.129037,0.129014,0.129022,0.129022,0
2020-10-29,0.129031,0.129032,0.128962,0.129031,0.129031,0
2020-10-30,0.129006,0.129016,0.128944,0.129008,0.129008,0
2020-11-02,0.128989,0.129027,0.128941,0.128989,0.128989,0
2020-11-03,0.129011,0.129035,0.128999,0.129016,0.129016,0
2020-11-04,0.128984,0.129012,0.128931,0.128981,0.128981,0
2020-11-05,0.128959,0.128984,0.128933,0.128959,0.128959,0
2020-11-06,0.128967,0.129000,0.128964,0.128965,0.128965,0
2020-11-09,0.128979,0.129004,0.128960,0.128977,0.128977,0
2020-11-10,0.128995,0.128999,0.128947,0.128994,0.128994,0
2020-11-11,0.128971,0.128992,0.128946,0.128972,0.128972,0
2020-11-12,0.128962,0.128978,0.128952,0.128966,0.128966,0
